Gene	"Gene synonym"	"Gene description"	Uniprot	"Biological process"	"Molecular function"	Evidence
TDRD1	CT41.1	"Tudor domain containing 1"	Q9BXT4	"Differentiation, Meiosis, RNA-mediated gene silencing, Spermatogenesis"	"Developmental protein"	"Evidence at protein level"
TDRD10	DKFZp434M202	"Tudor domain containing 10"	Q5VZ19		RNA-binding	"Evidence at protein level"
TDRD12	"ECAT8, FLJ13072"	"Tudor domain containing 12"	Q587J7	"Differentiation, Meiosis, RNA-mediated gene silencing, Spermatogenesis"	"Developmental protein, Helicase, Hydrolase"	"Evidence at protein level"
TDRD15		"Tudor domain containing 15"	B5MCY1			"Evidence at protein level"
TDRD3	FLJ21007	"Tudor domain containing 3"	Q9H7E2		"Chromatin regulator"	"Evidence at protein level"
TDRD5	"FLJ34823, TUDOR3"	"Tudor domain containing 5"	Q8NAT2	"Differentiation, Spermatogenesis"	"Developmental protein"	"Evidence at protein level"
TDRD6	"bA446F17.4, CT41.2, NY-CO-45, SPATA36"	"Tudor domain containing 6"	O60522	"Differentiation, Spermatogenesis"	"Developmental protein"	"Evidence at protein level"
TDRD7	PCTAIRE2BP	"Tudor domain containing 7"	Q8NHU6	"Differentiation, Spermatogenesis"	RNA-binding	"Evidence at protein level"
TDRD9	"C14orf75, DKFZp434N0820, FLJ36164, NET54"	"Tudor domain containing 9"	Q8NDG6	"Differentiation, Meiosis, RNA-mediated gene silencing, Spermatogenesis"	"Developmental protein, Helicase, Hydrolase"	"Evidence at protein level"
TDRKH	TDRD2	"Tudor and KH domain containing"	Q9Y2W6	"Differentiation, RNA-mediated gene silencing, Spermatogenesis"	RNA-binding	"Evidence at protein level"
TDRP	"C8orf42, INM01, TDRP1, TDRP2"	"Testis development related protein"	Q86YL5			"Evidence at protein level"
TEAD1	"AA, TCF13, TEF-1"	"TEA domain transcription factor 1"	P28347	"Transcription, Transcription regulation"	"Activator, DNA-binding"	"Evidence at protein level"
TEAD2	"ETF, TEF-4, TEF4"	"TEA domain transcription factor 2"	Q15562	"Transcription, Transcription regulation"	"Activator, DNA-binding"	"Evidence at protein level"
TEAD3	"ETFR-1, TEAD5, TEF-5"	"TEA domain transcription factor 3"	Q99594	"Transcription, Transcription regulation"	"Activator, DNA-binding"	"Evidence at protein level"
TEAD4	"EFTR-2, RTEF-1, TCF13L1, TEF-3, TEFR-1"	"TEA domain transcription factor 4"	Q15561	"Transcription, Transcription regulation"	"Activator, DNA-binding"	"Evidence at protein level"
TEC	PSCTK4	"Tec protein tyrosine kinase"	P42680	"Adaptive immunity, Immunity"	"Kinase, Transferase, Tyrosine-protein kinase"	"Evidence at protein level"
TECPR1	"DKFZP434B0335, FLJ23419, FLJ90593, KIAA1358"	"Tectonin beta-propeller repeat containing 1"	Q7Z6L1	Autophagy		"Evidence at protein level"
TECPR2	KIAA0329	"Tectonin beta-propeller repeat containing 2"	O15040	Autophagy		"Evidence at protein level"
TECR	"GPSN2, MRT14, SC2, TER"	"Trans-2,3-enoyl-CoA reductase"	Q9NZ01	"Fatty acid biosynthesis, Fatty acid metabolism, Lipid biosynthesis, Lipid metabolism, Sphingolipid metabolism"	Oxidoreductase	"Evidence at protein level"
TECRL	"DKFZp313B2333, DKFZp313D0829, GPSN2L, SRD5A2L2, TERL"	"Trans-2,3-enoyl-CoA reductase like"	Q5HYJ1		Oxidoreductase	"Evidence at protein level"
TECTA	"DFNA12, DFNA8, DFNB21"	"Tectorin alpha"	O75443	Hearing		"Evidence at protein level"
TECTB		"Tectorin beta"	Q96PL2			"Evidence at transcript level"
TEDC1	C14orf80	"Tubulin epsilon and delta complex 1"	Q86SX3			"Evidence at protein level"
TEDC2	"C16orf59, FLJ13909"	"Tubulin epsilon and delta complex 2"	Q7L2K0			"Evidence at protein level"
TEDDM1	"EDDM9, Epdd1, HE9, TMEM45C"	"Transmembrane epididymal protein 1"	Q5T9Z0			"Evidence at transcript level"
TEF	KIAA1655	"TEF transcription factor, PAR bZIP family member"	Q10587	"Biological rhythms, Transcription, Transcription regulation"	"Activator, DNA-binding"	"Evidence at protein level"
TEFM	"C17orf42, FLJ22729"	"Transcription elongation factor, mitochondrial"	Q96QE5	"Transcription, Transcription regulation"		"Evidence at protein level"
TEK	"CD202b, TIE-2, TIE2, VMCM, VMCM1"	"TEK receptor tyrosine kinase"	Q02763	Angiogenesis	"Kinase, Receptor, Transferase, Tyrosine-protein kinase"	"Evidence at protein level"
