Gene	"Gene synonym"	"Gene description"	Uniprot	"Biological process"	"Molecular function"	Evidence
KBTBD2	"BKLHD1, DKFZP566C134"	"Kelch repeat and BTB domain containing 2"	Q8IY47	"Ubl conjugation pathway"		"Evidence at protein level"
KBTBD3	BKLHD3	"Kelch repeat and BTB domain containing 3"	Q8NAB2			"Evidence at protein level"
KBTBD4	"BKLHD4, FLJ10450, HSPC252"	"Kelch repeat and BTB domain containing 4"	Q9NVX7			"Evidence at protein level"
KBTBD6	DKFZp547E1912	"Kelch repeat and BTB domain containing 6"	Q86V97	"Unfolded protein response"	"Signal transduction inhibitor"	"Evidence at protein level"
KBTBD7	DKFZP434E2318	"Kelch repeat and BTB domain containing 7"	Q8WVZ9	"Ubl conjugation pathway"	"Signal transduction inhibitor"	"Evidence at protein level"
KBTBD8	"KIAA1842, TA-KRP"	"Kelch repeat and BTB domain containing 8"	Q8NFY9	"Translation regulation, Ubl conjugation pathway"		"Evidence at protein level"
KCMF1	"DEBT91, DKFZP434L1021, PCMF, ZZZ1"	"Potassium channel modulatory factor 1"	Q9P0J7	"Ubl conjugation pathway"	Transferase	"Evidence at protein level"
KCNA1	"AEMK, HUK1, Kv1.1, MBK1, RBK1"	"Potassium voltage-gated channel subfamily A member 1"	Q09470	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCNA10	Kv1.8	"Potassium voltage-gated channel subfamily A member 10"	Q16322	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCNA2	"HK4, Kv1.2"	"Potassium voltage-gated channel subfamily A member 2"	P16389	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCNA3	"HLK3, HPCN3, Kv1.3, MK3"	"Potassium voltage-gated channel subfamily A member 3"	P22001	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCNA4	"HK1, HPCN2, KCNA4L, Kv1.4, PCN2"	"Potassium voltage-gated channel subfamily A member 4"	P22459	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCNA5	"HK2, HPCN1, Kv1.5"	"Potassium voltage-gated channel subfamily A member 5"	P22460	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCNA6	"HBK2, Kv1.6, PPP1R96"	"Potassium voltage-gated channel subfamily A member 6"	P17658	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCNA7	"HAK6, Kv1.7"	"Potassium voltage-gated channel subfamily A member 7"	Q96RP8	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCNAB1	"AKR6A3, hKvb3, hKvBeta3, KCNA1B, Kvb1.3"	"Potassium voltage-gated channel subfamily A regulatory beta subunit 1"	Q14722	"Ion transport, Potassium transport, Transport"	Oxidoreductase	"Evidence at protein level"
KCNAB2	"AKR6A5, HKvbeta2.1, HKvbeta2.2, KCNA2B"	"Potassium voltage-gated channel subfamily A regulatory beta subunit 2"	Q13303	"Ion transport, Potassium transport, Transport"	Oxidoreductase	"Evidence at protein level"
KCNAB3	"AKR6A9, KCNA3B"	"Potassium voltage-gated channel subfamily A regulatory beta subunit 3"	O43448	"Ion transport, Potassium transport, Transport"	"Ion channel, Oxidoreductase, Voltage-gated channel"	"Evidence at protein level"
KCNB1	Kv2.1	"Potassium voltage-gated channel subfamily B member 1"	Q14721	"Exocytosis, Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCNB2	Kv2.2	"Potassium voltage-gated channel subfamily B member 2"	Q92953	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCNC1	Kv3.1	"Potassium voltage-gated channel subfamily C member 1"	P48547	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCNC2	Kv3.2	"Potassium voltage-gated channel subfamily C member 2"	Q96PR1	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCNC3	"Kv3.3, SCA13"	"Potassium voltage-gated channel subfamily C member 3"	Q14003	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCNC4	"C1orf30, HKSHIIIC, Kv3.4"	"Potassium voltage-gated channel subfamily C member 4"	Q03721	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCND1	Kv4.1	"Potassium voltage-gated channel subfamily D member 1"	Q9NSA2	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCND2	"KIAA1044, Kv4.2, RK5"	"Potassium voltage-gated channel subfamily D member 2"	Q9NZV8	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCND3	"KSHIVB, Kv4.3, SCA19, SCA22"	"Potassium voltage-gated channel subfamily D member 3"	Q9UK17	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCNE1	"IsK, JLNS2, LQT5, minK"	"Potassium voltage-gated channel subfamily E regulatory subunit 1"	P15382	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCNE2	"LQT6, MiRP1"	"Potassium voltage-gated channel subfamily E regulatory subunit 2"	Q9Y6J6	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCNE3	"HOKPP, MiRP2"	"Potassium voltage-gated channel subfamily E regulatory subunit 3"	Q9Y6H6	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCNE4	MiRP3	"Potassium voltage-gated channel subfamily E regulatory subunit 4"	Q8WWG9	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCNE5	KCNE1L	"Potassium voltage-gated channel subfamily E regulatory subunit 5"	Q9UJ90			"Evidence at protein level"
KCNF1	"IK8, KCNF, kH1, Kv5.1"	"Potassium voltage-gated channel modifier subfamily F member 1"	Q9H3M0	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCNG1	"K13, KCNG, kH2, Kv6.1"	"Potassium voltage-gated channel modifier subfamily G member 1"	Q9UIX4	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCNG2	"KCNF2, Kv6.2"	"Potassium voltage-gated channel modifier subfamily G member 2"	Q9UJ96	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCNG3	Kv6.3	"Potassium voltage-gated channel modifier subfamily G member 3"	Q8TAE7	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCNG4	Kv6.4	"Potassium voltage-gated channel modifier subfamily G member 4"	Q8TDN1	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCNH1	"eag, eag1, h-eag, hEAG, Kv10.1"	"Potassium voltage-gated channel subfamily H member 1"	O95259	"Ion transport, Potassium transport, Transport"	"Calmodulin-binding, Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCNH2	"erg1, HERG, Kv11.1, LQT2"	"Potassium voltage-gated channel subfamily H member 2"	Q12809	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCNH3	"BEC1, elk2, Kv12.2"	"Potassium voltage-gated channel subfamily H member 3"	Q9ULD8	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCNH4	"elk1, Kv12.3"	"Potassium voltage-gated channel subfamily H member 4"	Q9UQ05	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at transcript level"
KCNH5	"eag2, H-EAG2, hEAG2, Kv10.2"	"Potassium voltage-gated channel subfamily H member 5"	Q8NCM2	"Ion transport, Potassium transport, Transport"	"Calmodulin-binding, Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCNH6	"erg2, HERG2, Kv11.2"	"Potassium voltage-gated channel subfamily H member 6"	Q9H252	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCNH7	"erg3, HERG3, Kv11.3"	"Potassium voltage-gated channel subfamily H member 7"	Q9NS40	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCNH8	"elk3, Kv12.1"	"Potassium voltage-gated channel subfamily H member 8"	Q96L42	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCNIP1	KCHIP1	"Potassium voltage-gated channel interacting protein 1"	Q9NZI2	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCNIP2	KCHIP2	"Potassium voltage-gated channel interacting protein 2"	Q9NS61	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCNIP3	"CSEN, DREAM, KCHIP3"	"Potassium voltage-gated channel interacting protein 3"	Q9Y2W7	"Apoptosis, Ion transport, Potassium transport, Transcription, Transcription regulation, Transport"	"Ion channel, Potassium channel, Repressor, Voltage-gated channel"	"Evidence at protein level"
KCNIP4	"CALP, KCHIP4, MGC44947"	"Potassium voltage-gated channel interacting protein 4"	Q6PIL6	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCNJ1	"Kir1.1, ROMK1"	"Potassium inwardly rectifying channel subfamily J member 1"	P48048	"Ion transport, Potassium transport, Transport"	"Ion channel, Voltage-gated channel"	"Evidence at protein level"
KCNJ10	"Kir1.2, Kir4.1"	"Potassium inwardly rectifying channel subfamily J member 10"	P78508	"Ion transport, Potassium transport, Transport"	"Ion channel, Voltage-gated channel"	"Evidence at protein level"
KCNJ11	"BIR, Kir6.2"	"Potassium inwardly rectifying channel subfamily J member 11"	Q14654	"Ion transport, Potassium transport, Transport"	"Ion channel, Voltage-gated channel"	"Evidence at protein level"
KCNJ12	"hIRK1, IRK2, KCNJN1, Kir2.2, Kir2.2v"	"Potassium inwardly rectifying channel subfamily J member 12"	Q14500	"Ion transport, Potassium transport, Transport"	"Ion channel, Voltage-gated channel"	"Evidence at protein level"
KCNJ13	"Kir1.4, Kir7.1, LCA16"	"Potassium inwardly rectifying channel subfamily J member 13"	O60928	"Ion transport, Potassium transport, Transport"	"Ion channel, Voltage-gated channel"	"Evidence at protein level"
KCNJ14	"IRK4, Kir2.4"	"Potassium inwardly rectifying channel subfamily J member 14"	Q9UNX9	"Ion transport, Potassium transport, Transport"	"Ion channel, Voltage-gated channel"	"Evidence at protein level"
KCNJ15	"IRKK, Kir1.3, Kir4.2"	"Potassium inwardly rectifying channel subfamily J member 15"	Q99712	"Ion transport, Potassium transport, Transport"	"Ion channel, Voltage-gated channel"	"Evidence at protein level"
KCNJ16	"BIR9, Kir5.1"	"Potassium inwardly rectifying channel subfamily J member 16"	Q9NPI9	"Ion transport, Potassium transport, Transport"	"Ion channel, Voltage-gated channel"	"Evidence at protein level"
KCNJ18	"KIR2.6, TTPP2"	"Potassium inwardly rectifying channel subfamily J member 18"	B7U540	"Ion transport, Potassium transport, Transport"	"Ion channel, Voltage-gated channel"	"Evidence at protein level"
KCNJ2	"IRK1, Kir2.1, LQT7"	"Potassium inwardly rectifying channel subfamily J member 2"	P63252	"Ion transport, Potassium transport, Transport"	"Ion channel, Voltage-gated channel"	"Evidence at protein level"
KCNJ3	"GIRK1, KGA, Kir3.1"	"Potassium inwardly rectifying channel subfamily J member 3"	P48549	"Ion transport, Potassium transport, Transport"	"Ion channel, Voltage-gated channel"	"Evidence at protein level"
KCNJ4	"HIR, hIRK2, HRK1, IRK3, Kir2.3"	"Potassium inwardly rectifying channel subfamily J member 4"	P48050	"Ion transport, Potassium transport, Transport"	"Ion channel, Voltage-gated channel"	"Evidence at protein level"
KCNJ5	"CIR, GIRK4, KATP1, Kir3.4, LQT13"	"Potassium inwardly rectifying channel subfamily J member 5"	P48544	"Ion transport, Potassium transport, Transport"	"Ion channel, Voltage-gated channel"	"Evidence at protein level"
KCNJ6	"BIR1, GIRK2, hiGIRK2, KATP2, KCNJ7, Kir3.2"	"Potassium inwardly rectifying channel subfamily J member 6"	P48051	"Ion transport, Potassium transport, Transport"	"Ion channel, Voltage-gated channel"	"Evidence at protein level"
KCNJ8	Kir6.1	"Potassium inwardly rectifying channel subfamily J member 8"	Q15842	"Ion transport, Potassium transport, Transport"	"Ion channel, Voltage-gated channel"	"Evidence at protein level"
KCNJ9	"GIRK3, Kir3.3"	"Potassium inwardly rectifying channel subfamily J member 9"	Q92806	"Ion transport, Potassium transport, Transport"	"Ion channel, Voltage-gated channel"	"Evidence at protein level"
KCNK1	"DPK, K2p1.1, TWIK-1"	"Potassium two pore domain channel subfamily K member 1"	O00180	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel"	"Evidence at protein level"
KCNK10	"K2p10.1, PPP1R97, TREK-2, TREK2"	"Potassium two pore domain channel subfamily K member 10"	P57789	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCNK12	"K2p12.1, THIK-2, THIK2"	"Potassium two pore domain channel subfamily K member 12"	Q9HB15	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCNK13	"K2p13.1, THIK-1, THIK1"	"Potassium two pore domain channel subfamily K member 13"	Q9HB14	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCNK15	"dJ781B1.1, K2p15.1, KCNK11, KCNK14, KIAA0237, KT3.3, TASK-5, TASK5"	"Potassium two pore domain channel subfamily K member 15"	Q9H427	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCNK16	"K2p16.1, TALK-1, TALK1"	"Potassium two pore domain channel subfamily K member 16"	Q96T55	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCNK17	"K2p17.1, TALK-2, TALK2, TASK-4, TASK4"	"Potassium two pore domain channel subfamily K member 17"	Q96T54	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCNK18	"K2p18.1, TRESK, TRESK-2, TRESK2, TRIK"	"Potassium two pore domain channel subfamily K member 18"	Q7Z418	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel"	"Evidence at protein level"
KCNK2	"K2p2.1, TREK-1"	"Potassium two pore domain channel subfamily K member 2"	O95069	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel"	"Evidence at protein level"
KCNK3	"K2p3.1, TASK, TASK-1, TASK1"	"Potassium two pore domain channel subfamily K member 3"	O14649	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel"	"Evidence at protein level"
KCNK4	"K2p4.1, TRAAK"	"Potassium two pore domain channel subfamily K member 4"	Q9NYG8	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCNK5	"K2p5.1, TASK-2, TASK2"	"Potassium two pore domain channel subfamily K member 5"	O95279	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCNK6	"K2p6.1, TWIK-2"	"Potassium two pore domain channel subfamily K member 6"	Q9Y257	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCNK7	K2p7.1	"Potassium two pore domain channel subfamily K member 7"	Q9Y2U2	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCNK9	"K2p9.1, TASK-3, TASK3"	"Potassium two pore domain channel subfamily K member 9"	Q9NPC2	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel"	"Evidence at protein level"
KCNMA1	"KCa1.1, mSLO1, SLO"	"Potassium calcium-activated channel subfamily M alpha 1"	Q12791	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCNMB1	hslo-beta	"Potassium calcium-activated channel subfamily M regulatory beta subunit 1"	Q16558	"Ion transport, Transport"	"Ion channel"	"Evidence at protein level"
KCNMB2		"Potassium calcium-activated channel subfamily M regulatory beta subunit 2"	Q9Y691	"Ion transport, Transport"	"Ion channel"	"Evidence at protein level"
KCNMB3	"KCNMB2, KCNMBL"	"Potassium calcium-activated channel subfamily M regulatory beta subunit 3"	Q9NPA1	"Ion transport, Transport"	"Ion channel"	"Evidence at protein level"
KCNMB4		"Potassium calcium-activated channel subfamily M regulatory beta subunit 4"	Q86W47	"Ion transport, Transport"	"Ion channel"	"Evidence at protein level"
KCNN1	"hSK1, KCa2.1"	"Potassium calcium-activated channel subfamily N member 1"	Q92952	"Ion transport, Transport"	"Calmodulin-binding, Ion channel"	"Evidence at protein level"
KCNN2	"hSK2, KCa2.2"	"Potassium calcium-activated channel subfamily N member 2"	Q9H2S1	"Ion transport, Transport"	"Calmodulin-binding, Ion channel"	"Evidence at protein level"
KCNN3	"hSK3, KCa2.3, SKCA3"	"Potassium calcium-activated channel subfamily N member 3"	Q9UGI6	"Ion transport, Transport"	"Calmodulin-binding, Ion channel"	"Evidence at protein level"
KCNN4	"hIKCa1, hKCa4, hSK4, IK, KCa3.1"	"Potassium calcium-activated channel subfamily N member 4"	O15554	"Immunity, Ion transport, Transport"	"Calmodulin-binding, Ion channel"	"Evidence at protein level"
KCNQ1	"JLNS1, KCNA8, KCNA9, Kv7.1, KVLQT1, LQT, LQT1"	"Potassium voltage-gated channel subfamily Q member 1"	P51787	"Ion transport, Potassium transport, Transport"	"Calmodulin-binding, Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCNQ2	"BFNC, EBN, EBN1, ENB1, HNSPC, KCNA11, Kv7.2"	"Potassium voltage-gated channel subfamily Q member 2"	O43526	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCNQ3	"EBN2, Kv7.3"	"Potassium voltage-gated channel subfamily Q member 3"	O43525	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCNQ4	"DFNA2, Kv7.4"	"Potassium voltage-gated channel subfamily Q member 4"	P56696	"Hearing, Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCNQ5	Kv7.5	"Potassium voltage-gated channel subfamily Q member 5"	Q9NR82	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCNRG		"Potassium channel regulator"	Q8N5I3			"Evidence at protein level"
KCNS1	Kv9.1	"Potassium voltage-gated channel modifier subfamily S member 1"	Q96KK3	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCNS2	Kv9.2	"Potassium voltage-gated channel modifier subfamily S member 2"	Q9ULS6	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCNS3	Kv9.3	"Potassium voltage-gated channel modifier subfamily S member 3"	Q9BQ31	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCNT1	"KCa4.1, KIAA1422, SLACK, Slo2.2"	"Potassium sodium-activated channel subfamily T member 1"	Q5JUK3	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel"	"Evidence at protein level"
KCNT2	"KCa4.2, SLICK, SLO2.1"	"Potassium sodium-activated channel subfamily T member 2"	Q6UVM3	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel"	"Evidence at protein level"
KCNU1	"KCa5.1, Kcnma3, KCNMC1, Slo3"	"Potassium calcium-activated channel subfamily U member 1"	A8MYU2	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCNV1	Kv8.1	"Potassium voltage-gated channel modifier subfamily V member 1"	Q6PIU1	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCNV2	Kv8.2	"Potassium voltage-gated channel modifier subfamily V member 2"	Q8TDN2	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Evidence at protein level"
KCP	"CRIM2, FLJ33365, NET67"	"Kielin cysteine rich BMP regulator"	Q6ZWJ8			"Evidence at protein level"
KCTD1	C18orf5	"Potassium channel tetramerization domain containing 1"	Q719H9	"Transcription, Transcription regulation"	Repressor	"Evidence at protein level"
KCTD10	"BTBD28, MSTP028"	"Potassium channel tetramerization domain containing 10"	Q9H3F6	"Ubl conjugation pathway"		"Evidence at protein level"
KCTD11	"C17orf36, KCASH1, REN"	"Potassium channel tetramerization domain containing 11"	Q693B1	"Cell cycle, Growth regulation, Ubl conjugation pathway"	"Developmental protein, Transferase"	"Evidence at protein level"
KCTD12	"C13orf2, KIAA1778, PFET1"	"Potassium channel tetramerization domain containing 12"	Q96CX2			"Evidence at protein level"
KCTD13	"FKSG86, PDIP1, POLDIP1"	"Potassium channel tetramerization domain containing 13"	Q8WZ19	"Ubl conjugation pathway"		"Evidence at protein level"
KCTD14	MGC2376	"Potassium channel tetramerization domain containing 14"	Q9BQ13			"Evidence at protein level"
KCTD15	MGC25497	"Potassium channel tetramerization domain containing 15"	Q96SI1		"Developmental protein"	"Evidence at protein level"
KCTD16	KIAA1317	"Potassium channel tetramerization domain containing 16"	Q68DU8			"Evidence at protein level"
KCTD17	FLJ12242	"Potassium channel tetramerization domain containing 17"	Q8N5Z5	"Cilium biogenesis/degradation, Ubl conjugation pathway"		"Evidence at protein level"
KCTD18	"6530404F10Rik, FLJ31322, FLJ37818"	"Potassium channel tetramerization domain containing 18"	Q6PI47			"Evidence at protein level"
KCTD19	FLJ40162	"Potassium channel tetramerization domain containing 19"	Q17RG1	"Differentiation, Meiosis, Spermatogenesis, Transcription, Transcription regulation"	Activator	"Evidence at protein level"
KCTD2	KIAA0176	"Potassium channel tetramerization domain containing 2"	Q14681			"Evidence at protein level"
KCTD20	"C6orf69, dJ108K11.3, MGC14254"	"Potassium channel tetramerization domain containing 20"	Q7Z5Y7			"Evidence at protein level"
KCTD21	KCASH2	"Potassium channel tetramerization domain containing 21"	Q4G0X4	"Growth regulation, Ubl conjugation pathway"		"Evidence at protein level"
KCTD3	NY-REN-45	"Potassium channel tetramerization domain containing 3"	Q9Y597			"Evidence at protein level"
KCTD4	bA321C24.3	"Potassium channel tetramerization domain containing 4"	Q8WVF5			"Evidence at protein level"
KCTD5	FLJ20040	"Potassium channel tetramerization domain containing 5"	Q9NXV2	"Host-virus interaction"		"Evidence at protein level"
KCTD6	"KCASH3, MGC27385"	"Potassium channel tetramerization domain containing 6"	Q8NC69	"Growth regulation, Ubl conjugation pathway"		"Evidence at protein level"
KCTD7	"CLN14, EPM3, FLJ32069"	"Potassium channel tetramerization domain containing 7"	Q96MP8			"Evidence at protein level"
KCTD8		"Potassium channel tetramerization domain containing 8"	Q6ZWB6			"Evidence at protein level"
KCTD9	"BTBD27, FLJ20038"	"Potassium channel tetramerization domain containing 9"	Q7L273	"Ubl conjugation pathway"		"Evidence at protein level"
KDELR1	"ERD2, ERD2.1, HDEL"	"KDEL endoplasmic reticulum protein retention receptor 1"	P24390	"ER-Golgi transport, Protein transport, Transport"	Receptor	"Evidence at protein level"
KDELR2	"ELP-1, ERD2.2"	"KDEL endoplasmic reticulum protein retention receptor 2"	P33947	"ER-Golgi transport, Protein transport, Transport"	Receptor	"Evidence at protein level"
KDELR3		"KDEL endoplasmic reticulum protein retention receptor 3"	O43731	"ER-Golgi transport, Protein transport, Transport"	Receptor	"Evidence at protein level"
KDF1	"C1orf172, FLJ34633, RP11-344H11.3"	"Keratinocyte differentiation factor 1"	Q8NAX2	Differentiation	"Developmental protein"	"Evidence at protein level"
KDM1A	"AOF2, BHC110, KDM1, KIAA0601, LSD1"	"Lysine demethylase 1A"	O60341	"Transcription, Transcription regulation"	"Chromatin regulator, Developmental protein, Oxidoreductase, Repressor"	"Evidence at protein level"
KDM1B	"AOF1, bA204B7.3, C6orf193, dJ298J15.2, FLJ33898, FLJ34109, FLJ43328, LSD2"	"Lysine demethylase 1B"	Q8NB78	"Transcription, Transcription regulation"	"Chromatin regulator, Developmental protein, Oxidoreductase, Repressor"	"Evidence at protein level"
KDM2A	"CXXC8, DKFZP434M1735, FBL11, FBL7, FBXL11, FLJ00115, JHDM1A, KIAA1004, LILINA"	"Lysine demethylase 2A"	Q9Y2K7	"Biological rhythms, Transcription, Transcription regulation, Ubl conjugation pathway"	"Chromatin regulator, Dioxygenase, DNA-binding, Oxidoreductase, Repressor"	"Evidence at protein level"
KDM2B	"CXXC2, Fbl10, FBXL10, JHDM1B, PCCX2"	"Lysine demethylase 2B"	Q8NHM5	"Transcription, Transcription regulation, Ubl conjugation pathway"	"Chromatin regulator, Dioxygenase, DNA-binding, Oxidoreductase, Repressor, RNA-binding, rRNA-binding"	"Evidence at protein level"
KDM3A	"JHMD2A, JMJD1, JMJD1A, KIAA0742, TSGA"	"Lysine demethylase 3A"	Q9Y4C1	"Differentiation, Spermatogenesis, Transcription, Transcription regulation"	"Activator, Chromatin regulator, Dioxygenase, Oxidoreductase"	"Evidence at protein level"
KDM3B	"C5orf7, JMJD1B, KIAA1082, NET22"	"Lysine demethylase 3B"	Q7LBC6	"Transcription, Transcription regulation"	"Chromatin regulator, Dioxygenase, Oxidoreductase"	"Evidence at protein level"
KDM4A	"JHDM3A, JMJD2, JMJD2A, KIAA0677, TDRD14A"	"Lysine demethylase 4A"	O75164	"Host-virus interaction, Transcription, Transcription regulation"	"Chromatin regulator, Dioxygenase, Oxidoreductase"	"Evidence at protein level"
KDM4B	"JMJD2B, KIAA0876, TDRD14B"	"Lysine demethylase 4B"	O94953	"Transcription, Transcription regulation"	"Chromatin regulator, Dioxygenase, Oxidoreductase"	"Evidence at protein level"
KDM4C	"GASC1, JMJD2C, KIAA0780, TDRD14C"	"Lysine demethylase 4C"	Q9H3R0	"Transcription, Transcription regulation"	"Chromatin regulator, Dioxygenase, Oxidoreductase"	"Evidence at protein level"
KDM4D	"FLJ10251, JMJD2D"	"Lysine demethylase 4D"	Q6B0I6	"Transcription, Transcription regulation"	"Chromatin regulator, Dioxygenase, Oxidoreductase"	"Evidence at protein level"
KDM4E	"JMJD2E, KDM4DL, KDM5E"	"Lysine demethylase 4E"	B2RXH2	"Transcription, Transcription regulation"	"Chromatin regulator, Dioxygenase, Oxidoreductase"	"Evidence at protein level"
KDM4F	JMJD2F	"Lysine demethylase 4F"				"No human protein/transcript evidence"
